                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2536,                 3.9819,                 1.6043,                0.00659,                0.07293,                0.01635,                0.00685,                 3.0154,                 3.7781,                 1.6133,             0.00027436,             0.00027436,             0.00027436
                      2,                 2.4417,                 2.1794,                 1.1905,                0.49509,                0.11426,                0.10017,                  0.045,                 2.3882,                 1.7346,                 1.1181,              0.0005411,              0.0005411,              0.0005411
                      3,                 2.1686,                 1.7561,                 1.0845,                0.67196,                0.12729,                0.13431,                0.06456,                 2.0553,                 1.4331,                 1.0386,             0.00079684,             0.00079684,             0.00079684
                      4,                 1.9965,                 1.5377,                 1.0299,                0.24841,                0.19601,                0.17499,                0.08483,                 1.9611,                 1.3213,                 1.0143,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.9169,                 1.3896,                 1.0094,                0.26985,                0.26254,                0.21993,                0.10808,                 1.8474,                 1.2471,                0.99355,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.8568,                 1.2802,                0.99232,                0.30448,                0.25867,                0.22422,                0.10982,                 1.7843,                 1.1226,                0.97042,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.7984,                 1.2243,                0.97608,                0.32934,                0.28587,                0.24871,                0.12091,                 1.7937,                 1.1193,                0.97656,             0.00073404,             0.00073404,             0.00073404
                      8,                  1.748,                 1.1473,                0.96448,                0.36623,                0.30928,                0.27327,                0.13558,                 1.7595,                 1.0862,                0.96227,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.7029,                 1.1074,                0.95735,                0.42328,                0.31062,                0.29766,                0.14657,                 1.7214,                  1.022,                0.95323,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.6954,                 1.0833,                0.94923,                0.46096,                0.31818,                0.31281,                 0.1607,                 1.6426,                  1.062,                0.94606,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.6629,                 1.0482,                0.94011,                0.51094,                0.34215,                0.33555,                0.16824,                 1.6202,                 0.9694,                0.93282,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.6426,                 1.0256,                0.94051,                0.47977,                0.34387,                0.34484,                0.17375,                   1.61,                 0.9605,                0.93423,             0.00065157,             0.00065157,             0.00065157
