                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2065,                  3.929,                 1.6339,                0.00651,                0.05503,                0.01367,                0.00489,                   2.93,                 3.9013,                 1.5981,              0.0032937,              0.0032937,              0.0032937
                      2,                 2.4005,                 2.2412,                 1.2388,                0.42463,                0.12559,                0.09178,                0.03579,                 2.2765,                 2.7239,                 1.2051,              0.0066204,              0.0066204,              0.0066204
                      3,                 2.2115,                 1.9048,                  1.132,                0.52577,                0.13167,                0.11968,                0.05446,                 2.2308,                 1.7224,                 1.1211,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.0657,                 1.7492,                 1.0703,                0.39203,                0.13833,                0.13752,                0.07098,                 1.9666,                 2.4124,                 1.0309,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0022,                 1.5237,                 1.0442,                0.28868,                 0.2161,                0.16556,                0.08494,                  1.934,                 1.7621,                 1.0231,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.9232,                 1.4411,                 1.0195,                0.26368,                0.19624,                0.18542,                0.08564,                 1.8984,                 1.3877,                 1.0192,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.8622,                 1.3259,                 1.0014,                0.33421,                0.23022,                  0.216,                0.11466,                 1.7918,                 1.3382,                0.98961,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.8167,                 1.2501,                0.98743,                0.40799,                0.23681,                0.24373,                0.11913,                  1.835,                 1.2181,                      1,              0.0099307,              0.0099307,              0.0099307
                      9,                  1.773,                  1.198,                0.97861,                0.40349,                0.26098,                0.25579,                0.12099,                 1.7997,                  1.125,                0.98684,              0.0099208,              0.0099208,              0.0099208
                     10,                  1.756,                 1.1621,                 0.9693,                 0.4211,                0.26291,                0.26146,                0.13419,                 1.6666,                   1.02,                0.96588,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.7298,                  1.113,                0.96107,                0.44936,                0.26613,                 0.2805,                0.14304,                 1.7287,                 1.0624,                0.96868,               0.009901,               0.009901,               0.009901
                     12,                    1.7,                 1.0865,                0.96019,                0.50086,                0.29376,                0.30308,                0.15353,                 1.6779,                 1.0483,                0.95445,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.7037,                 1.0675,                0.95853,                0.40698,                 0.3358,                0.30565,                0.15941,                 1.6474,                 0.9862,                0.95398,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.6606,                 1.0452,                0.94898,                0.52093,                0.29851,                0.32109,                0.16242,                  1.626,                 1.0204,                0.95348,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.6387,                 1.0028,                0.94309,                 0.4379,                0.31926,                0.31511,                0.16624,                 1.6041,                0.97945,                0.94244,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.6078,                0.97566,                0.93979,                0.51747,                0.33375,                0.34036,                 0.1749,                 1.6037,                0.95951,                0.93722,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.6011,                0.96116,                0.93435,                 0.5185,                0.33044,                0.33866,                0.17485,                 1.6592,                0.98876,                0.94608,              0.0098416,              0.0098416,              0.0098416
