                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1092,                0.62323,                0.84443,                0.75489,                 0.1879,                0.37518,                0.21482,                 1.2621,                0.95537,                 0.9433,             0.00027507,             0.00027507,             0.00027507
                      2,                 1.2003,                0.66289,                0.85526,                0.76385,                0.17198,                0.27932,                0.15126,                 1.2471,                 0.9984,                 0.9423,             0.00054179,             0.00054179,             0.00054179
                      3,                 1.2163,                0.67577,                0.85383,                0.76747,                0.19208,                0.31944,                0.14776,                 1.3127,                  1.038,                0.95948,             0.00079752,             0.00079752,             0.00079752
                      4,                 1.2316,                0.68206,                0.86003,                0.73561,                0.16767,                0.30536,                0.14551,                  1.306,                 1.0628,                0.96484,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.2239,                0.68348,                 0.8609,                0.76441,                0.17041,                0.31059,                 0.1582,                 1.2349,                 1.1024,                0.96502,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.2449,                0.68488,                0.85988,                0.73288,                0.17254,                 0.2546,                0.12467,                 1.2947,                 1.1251,                0.97527,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.2153,                0.67664,                0.85432,                0.75641,                0.16376,                0.31124,                0.13959,                 1.3566,                 1.2692,                0.96607,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.2254,                 0.6798,                0.85735,                0.75037,                0.18734,                0.34811,                0.17465,                 1.2955,                0.94668,                0.95598,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.2602,                0.69234,                 0.8648,                0.73759,                0.17865,                  0.324,                0.15906,                 1.3105,                 1.0049,                0.96315,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.2457,                0.68545,                0.85976,                0.73906,                0.17779,                0.22916,                0.11612,                 1.2985,                 1.0285,                0.97716,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.2405,                0.68149,                0.86065,                0.79655,                0.16061,                 0.3011,                 0.1434,                 1.2776,                 1.0574,                0.97455,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.2179,                0.66218,                  0.858,                0.71439,                0.16886,                0.23913,                0.11264,                 1.4914,                 1.2053,                 1.0031,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.2128,                0.66568,                0.85742,                0.45767,                  0.154,                  0.161,                0.08529,                 1.4467,                 1.1269,                 1.0023,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.2137,                0.66213,                0.85543,                0.69767,                0.17778,                 0.2222,                0.10689,                 1.3556,                 1.1059,                0.97817,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.2007,                0.65603,                0.85271,                0.73661,                0.19151,                0.25089,                0.12071,                 1.4294,                 1.1705,                0.99768,             0.00060209,             0.00060209,             0.00060209
                     16,                  1.196,                0.65311,                0.84906,                0.70854,                0.17814,                0.23826,                0.11424,                 1.4266,                  1.191,                0.99363,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.1939,                0.64542,                0.85233,                 0.7021,                0.17004,                0.21125,                0.10627,                 1.4418,                 1.1951,                0.99175,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.1842,                0.64467,                0.85218,                0.52484,                0.17021,                0.18295,                0.10402,                  1.404,                 1.0731,                 0.9937,             0.00055261,             0.00055261,             0.00055261
                     19,                  1.187,                0.64584,                0.85372,                0.45741,                0.16672,                0.17825,                0.10236,                  1.359,                 1.0695,                0.97719,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.1809,                0.63793,                0.84947,                 0.7335,                0.17703,                0.21492,                0.12755,                 1.3585,                 1.0927,                0.97877,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.1584,                0.63039,                0.84826,                0.70904,                0.16021,                0.30414,                0.13008,                 1.3753,                 1.0587,                0.99622,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.1669,                0.63197,                0.84611,                 0.5335,                0.16614,                0.27803,                0.13046,                 1.4153,                 1.1216,                 0.9962,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.1537,                0.62749,                0.84932,                0.73474,                0.16524,                0.19625,                0.10113,                 1.4661,                  1.067,                0.99285,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.1547,                0.63067,                0.84602,                 0.7246,                0.16283,                0.20976,                 0.1095,                  1.388,                  1.069,                0.98911,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.1424,                0.61768,                 0.8429,                0.47821,                0.17136,                0.18111,                0.10185,                 1.4244,                 1.1629,                 1.0011,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.1428,                0.61807,                0.84464,                0.70587,                0.16363,                 0.1752,                0.09348,                 1.4426,                 1.1557,                 1.0001,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.1375,                0.61481,                0.84189,                0.74366,                0.16487,                0.17906,                0.08998,                 1.4546,                 1.1732,                0.98833,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.1294,                0.60786,                0.83938,                 0.7284,                0.16228,                0.17879,                0.09947,                 1.4139,                 1.0226,                 1.0133,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.1282,                 0.6112,                0.84171,                0.70256,                0.16027,                0.16311,                 0.0851,                 1.5624,                0.98724,                 1.0307,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.1294,                0.61168,                0.83983,                0.71216,                0.16544,                0.17523,                0.09992,                 1.4069,                 1.0652,                0.99242,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.1167,                 0.6069,                0.84156,                0.73596,                0.16487,                0.18214,                0.10317,                 1.4904,                 1.0204,                 1.0124,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.1261,                0.60711,                0.84154,                0.47279,                0.16265,                0.17949,                0.10461,                    1.4,                0.94677,                 1.0098,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.1057,                0.59867,                0.83763,                0.72688,                 0.1707,                0.17464,                0.09721,                 1.4704,                0.94973,                 1.0052,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.1086,                0.59854,                0.84175,                0.75331,                0.16265,                0.17962,                0.09508,                 1.4913,                 1.0071,                 1.0136,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.1038,                0.59845,                0.83577,                0.47325,                0.16951,                0.21146,                0.10012,                 1.4518,                0.96164,                0.99628,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.0949,                0.59042,                0.83851,                0.73684,                 0.1691,                0.17377,                0.09283,                 1.4649,                0.89802,                 0.9994,             0.00025573,             0.00025573,             0.00025573
                     37,                  1.087,                0.59047,                0.83862,                0.74487,                0.16471,                0.17082,                0.08767,                 1.4716,                 1.0128,                0.99185,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.0796,                0.58798,                0.83555,                0.71909,                0.17433,                  0.163,                0.08442,                 1.4746,                  1.023,                0.99759,             0.00022274,             0.00022274,             0.00022274
                     39,                  1.084,                0.58756,                0.83569,                0.73992,                0.16584,                0.17125,                0.09303,                 1.4779,                0.94437,                 1.0074,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.0783,                0.58343,                0.83496,                0.72388,                 0.1671,                0.17354,                0.09247,                 1.4834,                  1.009,                 0.9929,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.0724,                0.57782,                0.83317,                0.72476,                 0.1642,                0.16792,                0.09296,                 1.4512,                0.96103,                 1.0016,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.0617,                0.57614,                0.83482,                0.72805,                0.16302,                0.16961,                0.09023,                 1.4794,                0.98513,                 1.0005,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.0598,                0.57531,                0.83501,                0.73047,                0.16819,                0.16925,                0.08672,                 1.5018,                0.95014,                 1.0024,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.0582,                0.56927,                0.83079,                0.73074,                0.16381,                0.16838,                0.08865,                 1.4646,                0.94463,                 1.0025,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.0487,                0.57115,                0.83238,                 0.7285,                0.16955,                0.17258,                0.08949,                  1.486,                0.94925,                 1.0016,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.0486,                0.56684,                0.83376,                0.72984,                0.16927,                 0.1728,                0.09096,                  1.479,                0.95609,                 1.0037,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.0496,                0.56766,                 0.8315,                0.72746,                0.17115,                0.17352,                0.09088,                 1.4653,                 0.9723,                0.99712,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.0448,                0.56831,                 0.8292,                0.72644,                0.16746,                0.16662,                0.08853,                 1.4552,                0.93751,                 0.9975,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.0499,                0.56701,                0.83063,                0.72518,                0.16791,                0.16811,                0.08866,                 1.4833,                0.96312,                 1.0025,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                 1.0433,                0.56217,                0.83101,                0.72868,                0.17299,                0.17325,                0.08971,                 1.4742,                0.94195,                 1.0004,             2.4823e-05,             2.4823e-05,             2.4823e-05
